bague_no;espece;sexe;age;jour_mois;heure;aile;poids;notes
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
90359;Birkenzeisig;m;;;;68;12;
90360;Zitronenzeisig;f;;;;75;12.5;
90361;„;m;;;;78;12.5;
90362;Birkenzeisig;m;;;;72;12;
90363;„;(f);;;;73;12;
90364;„;f;;;;67;11;
90365;„;m;;;;74;12;
90366;„;;;;;70;9;
90367;„;(f);;;;72;11.5;
90368;Zitronenzeisig;m;;;;78;13;Paris 1429551
90369;Birkenzeisig;(m);;;;71;11;
90370;„;(m);;;;71;11.5;
90371;Klappergrasmücke;;;;;66;12;
90372;Hausrötel;;;;;86;15;
90373;Birkenzeisig;;;;;72;11;
90374;„;;;;;73;11;
90375;„;;;;;74;10;
90376;Erlenzeisig;;;;;74;11.5;
90377;„;;;;;72;10.5;
90378;Birkenzeisig;;;;;72;10.5;
90379;Erlenzeisig;;;;;71;12;
90380;Birkenzeisig;;;;;73;10;
90381;Zaungrasmücke;;;;;65;12;
90382;Birkenzeisig;;;;;70.5;10.5;
90383;„;;;;;68;9.5;
90384;„;;;;;74;10;
90385;Heckenbraunelle;;;;;68;18;
90386;Zitronenzeisig;f;;;;77;12;
90387;Erlenzeisig;;;;;71;11;
90388;„;;;;;72;12.5;
90389;Heckenbraunelle;;;;;71;19;
90390;„;;;;;70;18;
90391;„;;;;;70;18;
90392;Zaungrasmücke;;;;;62;11.5;
90393;Tannenmeise;;;;;64;9.5;
90394;Alpenmeise;;;;;65;11;
90395;Trauerschnäpper;;;;;76;11;
90396;Tannenmeise;;;;;66;9;
90397;Zilpzalp;;;;;60;8;
90398;Tannenmeise;;;;;63;9;
90399;Haubenmeise;;;;;66;11.5;
90400;Zitronenfink;m;;;;80;12.5;
