bague_no;espece;sexe;age;jour_mois;heure;aile;poids;notes
90601;Hausrotschwanz;X;;;;83;14;
90602;Zaungrasmücke;;;;;67;13;
90603;Heckenbraunelle;;;;;69;19.5;
90604;Trauerschnäpper;;;;;78;12.0;
90605;Hausrotschwanz;X;;;;84;17;
90606;Zitronenzeisig;f;;;;79;13;
90607;„;;;;;75;13;
90608;„;;;;;78;13;25010
90609;„;;;;;76;13;
90610;Birkenzeisig;f;;;;69;13;
90611;„;;;;;70;11;
90612;Birkenzeisig;;;;;73.5;12;
90613;„;m;;;;73;12.5;
90614;Heckenbraunelle;;;;;70;18;
90615;Girlitz;f;;;;69;12;
90616;Heckenbraunelle;;;;;69;19.5;
90617;„;;;;;70;18;
90618;„;;;;;69;18;
90619;Tannenmeise;;;;;62;9;
90620;Birkenzeisig;m;;;;71;12;
90621;Hausrötel;Xf;;;;81;16.5;
90622;Heckenbraunelle;;;;;67;17.5;
90623;Braunkehlchen;X;;;;75;15;
90624;Birkenzeisig;;;;;71;11;
90625;Heckenbraunelle;;;;;69;19;
90626;Zilpzalp;;;;;60;9;
90627;Birkenzeisig;m;;;;74;12.5;
90628;Zilpzalp;;;;;61;8;
90629;Birkenzeisig;f;;;;70;11;
90630;„;m;;;;72;11;
90631;Baumpieper;;;;;84;19;
90632;Gimpel-Erlenzeisig;;;;;75;12.5;
90633;Birkenzeisig;;;;;74;12.5;
90634;Hausrötel;X;;;;80;18;
90635;Birkenzeisig;;;;;71;11;
90636;Rotkehlchen;Xf;;;;71;16.5;
90637;Heckenbraunelle;;;;;70;21;
90638;Zitronenzeisig;;;;;80;13.5;
90639;Birkenzeisig;(f);;;;79;12;
90640;Hausrötel;X;;;;87;18;
90641;Trauerschnäpper;;;;;80;12;
90642;Birkenzeisig;f;;;;68;11.5;
90643;„;;;;;70;12;
90644;Distelfink;f;;;;77;16.5;
90645;Hausrötel;X;;;;89;19;
90646;Birkenzeisig;m;;;;73;13;
90647;Zitröneler;;;;;79;14;
90648;Hausrötel;X;;;;83;17.5;
90649;Birkenzeisig;f;;;;69;16;
90650;Distelfink;;;;;77;13.5;
