bague_no;espece;sexe;age;jour_mois;heure;aile;poids;notes
90401;Tannenmeise;;;;;62;9;
90402;„;;;;;65;9.5;
90403;Heckenbraunelle;;;;;69;20;
90404;Zitronenzeisig;m;;;;80;13.5;
90405;Birkenzeisig;m;;;;72;10;
90406;„;;;;;72;11;
90407;„;;;;;73;10;
90408;Heckenbraunelle;;;;;71;19;25009
90409;Birkenzeisig;f;;;;69;11;
90410;Hausrötel;X;;;;87;11.5;
90411;Zitronenzeisig;m;;;;79;12.5;
90412;Heckenbraunelle;;;;;70;12.5;
90413;Tannenmeise;;;;;65;8.5;
90414;Heckenbraunelle;;;;;72;11.5;
90415;„;f;;;;68;18;Brutfleck
90416;Tannenmeise;;;;;62;8.5;
90417;„;;;;;64;8;
90418;Heckenbraunelle;;;;;69;19;
90419;Tannenmeise;;;;;64;9;
90420;„;;;;;65;9;Paris 12706261
90421;Zitronenzeisig;f;;;;77;12;Brutfleck
90422;Tannenmeise;;;;;63;8.5;
90423;„;;;;;64;9;
90424;„;;;;;63;;
90425;„;;;;;63;8.5;
90426;„;;;;;59;8;
90427;„;;;;;63;8.5;
90428;Birkenzeisig;m;;;;71;12;
90429;„;;;;;73;11;
90430;Zilpzalp;;;;;60;7;
90431;Birkenzeisig;;;;;71;;
90432;Tannenmeise;;;;;64.5;9.5;
90433;Heckenbraunelle;;;;;69;17.5;
90434;Zitronenzeisig;(m);;;;78;12;
90435;„;f;;;;76;12.5;
90436;Alpenmeise;;;;;64;10;
90437;Haubenmeise;;;;;67;11.5;
90438;Erlenzeisig;;;;;73;12;
90439;„;;;;;73;12;
90440;Tannenmeise;;;;;63;9;
90441;„;;;;;63;8.5;
90442;„;;;;;61;8;
90443;Birkenzeisig;m;;;;70;10.5;
90444;Zitronenzeisig;;;;;80;12;
90445;Rotkehlchen;Xf;;;;71;17;Brutfleck
90446;Heckenbraunelle;;;;;70;18.5;
90447;Rotkehlchen;X;;;;72;15.5;
90448;Wasserpieper;;;;;84;19;
90449;Heckenbraunelle;;;;;70;19;
90450;„;;;;;69;18;
