bague_no;espece;sexe;age;jour_mois;heure;aile;poids;notes
90551;Zitronenzeisig;(f);;;;75;12;
90552;Birkenzeisig;m;;;;72;9.5;
90553;Heckenbraunelle;;;;;67;8;
90554;Zitronenzeisig;;;;;80;13;
90555;„;;;;;78;11.5;
90556;„;;;;;79;11;
90557;„;;;;;79;11.5;
90558;Birkenzeisig;f;;;;71;10.5;26700
90559;„;;;;;75;10;
90560;Hausrötel;X;;;;87;17.5;
90561;Phyll Waldlaubsänger;;;;;74;9;
90562;Rotkehlchen;X;;;;72;16;
90563;Berglaubsänger;;;;;65;7.5;
90564;Zitronenzeisig;;;;;80.5;12.5;
90565;„;;;;;82;13;
90566;Heckenbraunelle;;;;;69;17;
90567;Zitronenzeisig;;;;;82;13;
90568;„;;;;;79;12.5;
90569;Birkenzeisig;;;;;70;12.5;
90570;Heckenbraunelle;f;;;;69;19.5;Brutfleck
90571;Zitronenzeisig;m;;;;81;;
90572;„;f;;;;75;13;Brutfleck
90573;Erlenzeisig;;;;;71;12;
90574;Hänfling;;;;;81;18.5;
90575;Erlenzeisig;;;;;74;12;
90576;Birkenzeisig;;;;;73;10.5;
90577;Zitronenzeisig;;;;;79;12;
90578;„;;;;;77;12;
90579;Distelfink;;;;;76;14;
90580;Tannenmeise;;;;;63;9.5;
90581;Zitronenzeisig;f;;;;77;12.5;Brutfleck
90582;Tannenmeise;;;;;62.5;9.5;
90583;Heckenbraunelle;;;;;68;15;
90584;Zitronenzeisig;m;;;;78;13;
90585;Erlenzeisig;;;;;74;12.5;
90586;Heckenbraunelle;;;;;69;20;
90587;„;;;;;72;12.5;
90588;„;;;;;69;19;
90589;„;;;;;70;18;
90590;„;;;;;74;19;
90591;Tannenmeise;;;;;63;8;
90592;Heckenbraunelle;;;;;71;19;
90593;„;;;;;71;18;
90594;Carduelis citrinella;;;;;77;13;
90595;Distelfink;f;;;;77;15;
90596;Zitronenzeisig;;;;;81;13;
90597;Hausrotschwanz;X;;;;88;16.5;
90598;Zitronenzeisig;;;;;77;11.5;
90599;„;;;;;78;12.5;
90600;„;;;;;77;12.5;
