bague_no;espece;sexe;age;jour_mois;heure;aile;poids;notes
90501;Heckenbraunelle;f;;;;69;18.5;Brutfleck
90502;Birkenzeisig;;;;;72;11;
90503;„;f;;;;69;11;Brutfleck
90504;„;;;;;71;10;
90505;„;;;;;76;11;
90506;„;;;;;74;10;
90507;„;;;;;71;11;
90508;„;;;;;70;11;
90509;Zitronenzeisig;f;;;;76;13;
90510;„;(m);;;;78;13;
90511;Girlitz;f;;;;71;12;
90512;Hausrötel;Xf;;;;82;16;
90513;Birkenzeisig;f;;;;71;12;
90514;Zitronenzeisig;m;;;;79;13;
90515;Heckenbraunelle;f;;;;70;20;Brutfleck
90516;Birkenzeisig;m;;;;74;11;
90517;Heckenbraunelle;;;;;65;18;
90518;„;f;;;;68;19;Brutfleck
90519;Riley Ventoux;;;;;;;
90520;Birkenzeisig;m;;;;71;12;
90521;Hausrötel;X;;;;86;17;
90522;Heckenbraunelle;;;;;68;15;
90523;„;;;;;65;16.5;
90524;Birkenzeisig;;;;;71;10.5;
90525;Zaungrasmücke;f;;;;66;13.5;Brutfleck
90526;Zitronenzeisig;;;;;78;13;
90527;Birkenzeisig;;;;;72;11;
90528;„;;;;;73;12.5;
90529;Zitronenzeisig;f;;;;78;14;
90530;Birkenzeisig;f;;;;70;12.5;
90531;Hausrötel;X;;;;82;16;
90532;Zitronenzeisig;;;;;79;13;
90533;„;;;;;80;15;
90534;„;;;;;77;15;
90535;Birkenzeisig;;;;;73;12.5;
90536;Heckenbraunelle;;;;;70;20;
90537;Rotschwanz Haus;X;;;;89;17.5;
90538;Heckenbraunelle;;;;;69;18;
90539;„;;;;;72;19.5;
90540;Birkenzeisig;f;;;;68;12;
90541;„;f;;;;68;12;
90542;Heckenbraunelle;;;;;69;17.5;
90543;Zilpzalp;;;;;61;7;
90544;Heckenbraunelle;;;;;64;18.5;
90545;Birkenzeisig;;;;;70;10;
90546;„;;;;;71;11;
90547;Hausrötel;X;;;;86;15;
90548;Baumpieper;;;;;86;21;
90549;Birkenzeisig;;;;;71;9.5;
90550;Zilpzalp;;;;;61;6.5;
